,grandes grupos CIE-10,mes,tramo edad cumplida,sexo,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,rango1,rango2,rango3,Defunciones
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
3,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2726579853007841,-0.293787579707229,-0.32259030829271296,-0.29874820848354366
4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
5,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
6,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
7,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
8,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.2726579853007841,-0.293787579707229,-0.3035288569825632,-0.2931389015176048
9,1,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.2887775893584492,-0.2786602615880048,-0.32259030829271296,-0.29874820848354366
10,1,1,6,0,1,3,1,1,1,0,2,0,4,2,1,0,0,1,-0.17594036095479335,-0.17276903475343483,-0.28446740567241346,-0.20899929702852196
11,1,1,6,1,1,2,0,0,0,1,0,0,1,0,0,2,0,0,-0.24041877718545385,-0.2635329434687805,-0.28446740567241346,-0.26509236668791053
12,1,1,7,0,0,1,3,3,1,2,1,2,4,3,2,1,0,0,-0.15982075689712824,-0.11225976227653771,-0.26540595436226366,-0.17534345523288883
13,1,1,7,1,1,2,1,0,2,0,1,1,2,0,1,0,0,1,-0.19205996501245848,-0.23327830723033194,-0.28446740567241346,-0.23704583185821623
14,1,1,8,0,4,4,2,0,1,0,0,1,3,4,1,0,2,1,-0.11146194472413286,-0.17276903475343483,-0.24634450305211394,-0.17534345523288883
15,1,1,8,1,0,2,2,0,1,0,0,1,0,2,1,0,0,1,-0.2081795690701236,-0.2484056253495562,-0.28446740567241346,-0.24826444579009396
16,1,1,9,0,2,3,1,6,6,2,5,4,5,1,5,1,3,3,0.00137528367952299,-0.036623171680416323,-0.09385289257091592,-0.04072008805035626
17,1,1,9,1,1,3,3,3,2,1,2,2,1,3,0,3,1,0,-0.09534234066646774,-0.15764171663421053,-0.24634450305211394,-0.1641248413010111
18,1,1,10,0,5,3,4,7,5,5,6,10,7,6,4,6,7,4,0.09809290802551372,0.22054123634639639,0.07770016922043184,0.13877773485968714
19,1,1,10,1,6,4,14,3,5,11,6,8,8,5,8,6,5,2,0.2270497404868347,0.2810505088232935,0.07770016922043184,0.2060894184509534
20,1,1,11,0,0,2,0,3,1,4,2,3,3,2,2,1,3,5,-0.19205996501245848,-0.08200512603808915,-0.11291434388106568,-0.13046899950537796
21,1,1,11,1,4,6,5,6,6,8,4,2,9,5,4,9,2,5,0.14645172019850908,0.12977732763105074,0.05863871791028209,0.11634050699593172
22,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
23,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
24,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.2887775893584492,-0.2786602615880048,-0.32259030829271296,-0.29874820848354366
25,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
26,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
27,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
28,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
29,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
30,1,2,5,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,-0.24041877718545385,-0.2786602615880048,-0.32259030829271296,-0.28192028758572707
31,1,2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.2726579853007841,-0.293787579707229,-0.32259030829271296,-0.29874820848354366
