,Defunciones
500,6.903601935781949
726,-0.2931389015176048
3253,0.1331684278937482
3061,-0.3043575154494825
1597,-0.3043575154494825
5117,-0.2763109806197882
4110,-0.3043575154494825
1958,-0.3043575154494825
1145,-0.3043575154494825
5463,-0.3043575154494825
3343,0.1556056557575037
4716,-0.2987482084835436
507,-0.2931389015176048
4491,-0.2987482084835436
1953,-0.3043575154494825
1526,-0.2650923666879105
470,-0.2258272179263385
1839,-0.3043575154494825
2293,-0.2931389015176048
4565,-0.2987482084835436
1939,-0.3043575154494825
4247,-0.2763109806197882
9,-0.2987482084835436
3518,0.2677917950762808
2006,-0.3043575154494825
2734,-0.3043575154494825
1960,-0.3043575154494825
34,-0.1977806830966442
1411,-0.2987482084835436
4953,-0.2763109806197882
1160,0.2229173393487699
285,1.900100122164488
5483,-0.3043575154494825
1741,-0.3043575154494825
481,4.901079348941776
2243,6.959695005441337
2455,-0.2202179109603996
2618,-0.3043575154494825
942,0.4416803110203854
565,-0.2987482084835436
1804,-0.3043575154494825
104,-0.0855945437778671
188,-0.1641248413010111
5031,-0.1753434552328888
4169,-0.3043575154494825
3970,-0.3043575154494825
599,-0.3043575154494825
1706,-0.3043575154494825
3323,-0.3043575154494825
1216,-0.3043575154494825
649,-0.3043575154494825
1418,-0.2763109806197882
2089,-0.3043575154494825
1700,-0.3043575154494825
4202,-0.2202179109603996
4392,-0.2763109806197882
1625,-0.3043575154494825
1119,2.5339518093155786
3359,-0.2931389015176048
538,-0.3043575154494825
1185,2.062770024176715
1840,-0.3043575154494825
383,-0.1472969204031945
3083,-0.3043575154494825
1900,-0.3043575154494825
3949,-0.3043575154494825
4574,0.1668242696893814
2491,-0.2987482084835436
4607,-0.3043575154494825
5492,-0.3043575154494825
4536,-0.3043575154494825
1691,-0.3043575154494825
1123,-0.3043575154494825
2306,5.647117175411644
3380,-0.2707016736538494
2892,-0.1472969204031945
639,-0.3043575154494825
2777,-0.3043575154494825
2188,0.0490288234046654
3099,-0.1809527621988276
4706,0.1107312000299928
1141,2.045942103278898
3910,-0.3043575154494825
2260,3.1453662686029142
271,-0.2650923666879105
2500,0.0322009025068488
2982,-0.3043575154494825
3120,-0.2258272179263385
4777,-0.2987482084835436
1772,-0.3043575154494825
4204,-0.3043575154494825
2493,-0.3043575154494825
3311,-0.2875295945516659
5398,-0.3043575154494825
2178,-0.2987482084835436
4056,-0.3043575154494825
1358,0.5089919946116517
261,0.2229173393487699
5474,-0.2987482084835436
2755,-0.3043575154494825
3092,-0.3043575154494825
1696,-0.3043575154494825
440,-0.3043575154494825
4563,-0.281920287585727
2550,0.8792062543636162
619,-0.3043575154494825
1721,-0.3043575154494825
3691,-0.0743759298459894
2585,-0.2987482084835436
1887,-0.3043575154494825
4324,-0.281920287585727
1075,2.752714780987194
1398,-0.1641248413010111
1567,-0.3043575154494825
4612,-0.2202179109603996
2087,-0.3043575154494825
5432,-0.2875295945516659
3992,-0.3043575154494825
4597,1.2718577419793362
4146,-0.3043575154494825
729,-0.2987482084835436
5399,-0.3043575154494825
5019,-0.3043575154494825
173,0.1612149627234425
2216,3.4370502308317348
371,4.9683910325330425
3488,-0.2987482084835436
3244,-0.2987482084835436
2447,-0.3043575154494825
4170,-0.3043575154494825
5060,-0.3043575154494825
2563,-0.2650923666879105
1961,-0.3043575154494825
628,-0.2707016736538494
2466,-0.3043575154494825
410,4.873032814112082
346,6.600699359621251
3722,-0.3043575154494825
883,-0.2987482084835436
1065,-0.2987482084835436
4410,-0.2931389015176048
2401,-0.2987482084835436
718,-0.2931389015176048
906,-0.2987482084835436
1084,-0.3043575154494825
2709,-0.3043575154494825
2177,9.007092048009019
3338,-0.2594830597219716
4541,-0.2931389015176048
2175,9.057575810702469
4895,-0.1697341482669499
4662,0.1275591209278094
4724,-0.1304689995053779
3164,-0.2426551388241551
771,-0.3043575154494825
1471,2.073988638108593
5233,0.0490288234046654
4554,-0.2987482084835436
220,-0.2987482084835436
3410,-0.3043575154494825
4957,-0.2875295945516659
5356,-0.3043575154494825
4237,-0.2482644457900939
4938,0.0826846652002985
4253,-0.2987482084835436
2070,-0.3043575154494825
45,-0.3043575154494825
1442,-0.1921713761307054
87,0.1387777348596871
4221,-0.3043575154494825
3411,-0.3043575154494825
479,3.4146130029679798
4058,-0.3043575154494825
4488,-0.2931389015176048
1666,-0.3043575154494825
3037,-0.3043575154494825
5026,-0.2987482084835436
2601,-0.3043575154494825
3788,-0.3043575154494825
2888,-0.2987482084835436
4283,-0.2875295945516659
811,0.8848155613295551
1622,-0.3043575154494825
5192,-0.3043575154494825
1284,-0.3043575154494825
162,-0.2707016736538494
5085,-0.3043575154494825
4945,0.0097636746430934
985,-0.0070642462547231
1069,-0.281920287585727
4861,0.1387777348596871
2523,-0.1697341482669499
1831,-0.3043575154494825
3756,-0.3043575154494825
3951,-0.3043575154494825
2027,-0.3043575154494825
4073,-0.3043575154494825
1109,-0.3043575154494825
2761,-0.2763109806197882
4760,-0.0743759298459894
2743,-0.1416876134372557
5228,-0.2258272179263385
5403,-0.3043575154494825
3807,-0.3043575154494825
4367,-0.2987482084835436
976,-0.2987482084835436
1865,-0.3043575154494825
3993,-0.3043575154494825
4294,-0.2987482084835436
135,-0.2931389015176048
3895,-0.3043575154494825
384,0.1948708045190757
4094,-0.2987482084835436
1545,-0.2987482084835436
3853,-0.3043575154494825
3199,-0.3043575154494825
658,-0.2482644457900939
1540,-0.2931389015176048
3147,-0.3043575154494825
3101,-0.0799852368119282
4825,-0.281920287585727
4144,-0.3043575154494825
3321,0.2958383299059751
1298,-0.3043575154494825
849,-0.2594830597219716
4117,-0.3043575154494825
1828,-0.3043575154494825
2959,-0.3043575154494825
3497,0.8006759568404722
1422,-0.0182828601866008
2726,0.1892614975531368
3832,-0.3043575154494825
2549,1.4233090300596851
3345,-0.3043575154494825
3172,-0.3043575154494825
4754,-0.2931389015176048
2542,-0.1529062273691334
210,-0.1865620691647665
3681,-0.3043575154494825
3217,-0.2987482084835436
1363,1.3840438812981133
2923,-0.1585155343350722
4786,0.0322009025068488
2382,-0.281920287585727
3039,-0.3043575154494825
4433,-0.3043575154494825
3724,-0.3043575154494825
4952,-0.2987482084835436
3149,-0.3043575154494825
3170,-0.3043575154494825
1722,-0.3043575154494825
4819,-0.3043575154494825
2315,-0.3043575154494825
2172,3.784827262719944
1519,-0.3043575154494825
3643,-0.2987482084835436
2457,-0.1360783064713168
4026,-0.2370458318582162
668,-0.3043575154494825
1861,-0.3043575154494825
5439,-0.3043575154494825
4438,-0.3043575154494825
1282,-0.3043575154494825
1206,1.2606391280474585
872,-0.1080317716416225
831,0.0041543676771545
1273,1.9898490336195096
4862,-0.3043575154494825
2848,-0.1585155343350722
3930,-0.3043575154494825
3633,-0.3043575154494825
1132,-0.3043575154494825
3289,-0.3043575154494825
5215,-0.3043575154494825
1889,-0.3043575154494825
2134,-0.2987482084835436
526,1.4625741788212572
5020,-0.3043575154494825
3484,-0.3043575154494825
641,-0.3043575154494825
2586,-0.1865620691647665
5047,-0.2987482084835436
1564,-0.2987482084835436
1933,-0.3043575154494825
4450,-0.2987482084835436
4215,-0.3043575154494825
