"Defunciones mensuales de la C.A. de Euskadi por grandes grupos CIE-10, mes, tramo edad cumplida, sexo y periodo"

"grandes grupos CIE-10","mes","tramo edad cumplida","sexo","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","1 - 9","Mujeres",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","30 - 39","Hombres",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","30 - 39","Mujeres",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","40 - 49","Hombres",1,3,1,1,1,0,2,0,4,2,1,0,0,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","40 - 49","Mujeres",1,2,0,0,0,1,0,0,1,0,0,2,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","50 - 59","Hombres",0,1,3,3,1,2,1,2,4,3,2,1,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","50 - 59","Mujeres",1,2,1,0,2,0,1,1,2,0,1,0,0,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","60 - 69","Hombres",4,4,2,0,1,0,0,1,3,4,1,0,2,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","60 - 69","Mujeres",0,2,2,0,1,0,0,1,0,2,1,0,0,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","70 - 79","Hombres",2,3,1,6,6,2,5,4,5,1,5,1,3,3
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","70 - 79","Mujeres",1,3,3,3,2,1,2,2,1,3,0,3,1,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","80 - 89","Hombres",5,3,4,7,5,5,6,10,7,6,4,6,7,4
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero","80 - 89","Mujeres",6,4,14,3,5,11,6,8,8,5,8,6,5,2
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero",">= 90","Hombres",0,2,0,3,1,4,2,3,3,2,2,1,3,5
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Enero",">= 90","Mujeres",4,6,5,6,6,8,4,2,9,5,4,9,2,5
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","1 - 9","Hombres",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","30 - 39","Hombres",0,1,1,1,0,0,1,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","30 - 39","Mujeres",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","40 - 49","Hombres",4,2,2,1,0,0,1,0,0,1,0,1,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","40 - 49","Mujeres",0,0,3,0,1,0,0,0,0,0,1,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","50 - 59","Hombres",2,0,2,2,2,3,1,1,1,1,2,0,1,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","50 - 59","Mujeres",1,1,1,0,1,1,0,0,1,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","60 - 69","Hombres",0,0,0,1,2,2,1,1,1,1,0,1,1,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","60 - 69","Mujeres",1,1,1,1,3,2,0,1,0,0,2,1,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","70 - 79","Hombres",4,2,2,1,0,3,0,5,2,1,0,4,1,3
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","70 - 79","Mujeres",3,4,2,1,1,2,4,3,3,3,3,0,2,2
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","80 - 89","Hombres",2,1,6,7,2,5,3,5,5,5,5,3,1,8
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero","80 - 89","Mujeres",5,13,4,8,5,9,9,12,6,9,7,7,2,6
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero",">= 90","Hombres",0,2,0,0,0,3,2,1,2,1,1,2,3,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Febrero",">= 90","Mujeres",2,3,4,9,4,4,6,2,4,5,5,3,3,12
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","30 - 39","Hombres",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","30 - 39","Mujeres",0,0,0,0,1,0,1,0,1,0,0,0,1,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","40 - 49","Hombres",5,2,2,1,0,2,2,0,1,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","40 - 49","Mujeres",1,0,1,0,0,0,0,0,0,1,0,0,0,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","50 - 59","Hombres",1,2,0,2,2,2,3,1,1,3,1,0,2,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","50 - 59","Mujeres",0,2,0,0,2,2,0,0,1,0,0,1,0,1
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","60 - 69","Hombres",1,1,1,0,0,2,1,3,1,2,1,1,3,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","60 - 69","Mujeres",1,1,1,0,0,0,1,1,0,1,1,1,2,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","70 - 79","Hombres",1,2,1,0,2,1,2,0,4,3,3,0,5,4
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","70 - 79","Mujeres",3,2,1,6,2,2,1,2,4,1,1,2,2,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","80 - 89","Hombres",7,4,9,4,4,2,6,5,2,3,4,3,6,5
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo","80 - 89","Mujeres",5,11,13,7,8,7,6,8,5,5,0,5,7,11
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo",">= 90","Hombres",2,1,1,4,4,4,5,1,1,2,3,3,4,2
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Marzo",">= 90","Mujeres",4,1,4,6,3,5,3,5,1,4,2,3,7,7
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","0","Mujeres",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","1 - 9","Mujeres",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I. Ciertas enfermedades infecciosas y parasitarias (A00 - B99)","Abril","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,1,0
